query,rank,score,relevance,reason,title,administration,agencies_affected,subject_matter,source_path,snippet
unaccompanied children ORR release policies,4,13.797374,0,"Asylum cooperative agreements rule, not ORR release policies.",DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1985__homeland-security-secretary-noem-ratifies-interim-final-rule-pertaining-to-asylu/documents/subsequent-action__8163__nan__7856e23689.pdf,"2022). Other courts in this District have certified under Rule 23(b)(2) similar nationwide classes of noncitizens challenging restrictive immigration policies. See, e.g., Refugee & Immigrant Ctr. for Educ. & Legal Servs. v. Noem, 793 F. Supp. 3d 19, 103 (D.D.C. 2025) (noncitizens subject to presidential proclamation barring asylum at the border), appeal pending, D.C. Cir. No. 25-05243; P.J.E.S. v. Wolf, 502 F. Supp. 3d 492, 501-02, 509-10 (D.D.C. 2020) (unaccompanied children subject to “Title 42” expulsion policy); O.A. v. Trump, 404 F. Supp. 3d 109, 160 (D.D.C. 2019) (noncitizens subject to regulation restricting asylum); see also J.D. v. Azar, 925 F.3d 1291, 131225 (D.C. Cir. 2019) (pregnant noncitizen children); Ramirez v. ICE, 338 F. Supp. 3d 1, 42-50 Case 1:20-cv-00116-EGS Document 174 Filed 12/19/25 Page 2 of 10 3 (D.D.C. 2018) (noncitizen teens challenging transfers to ICE custody); R.I.L.-R. v. Johnson, 80 F. Supp. 3d 164, 179-83 (D.D.C. 2015) (noncitizen mothers and children…"
unaccompanied children ORR release policies,5,13.796444,0,"E‑Verify funding policy, not ORR release policies.",President Trump proposes cutting funding to E-Verify program,,"[""U.S. Citizenship and Immigration Services""]","[""Employment Verification""]",data/sample_100/policies/549__president-trump-proposes-cutting-funding-to-e-verify-program/documents/new-policy__1279__border-security-2020-budget-fact-sheet__bfe3e4e0a7.pdf,"jails and prisons; and o $122 million for the E-Verify program to support mandatory nationwide use, ensuring that businesses employ only those authorized to work in the U.S. Department of Justice. At the Department of Justice (DOJ), the 2020 Budget proposes an overall funding level of $673 million for the Executive Office for Immigration Review (EOIR), a 19 percent increase over the 2019 level. As part of the Administration’s efforts to reduce the pending caseload, the Budget expands EOIR’s adjudicatory capacity by providing funding for an additional 100 Immigration Judge (IJ) teams. Department of Health and Human Services. The UAC Program, operated by the Office of Refugee Resettlement (ORR), is required to provide care, food, shelter, and services to UAC in ORR custody before release to a suitable sponsor, usually a parent or close relative. To address the continued unpredictability of funding needs and the possibility of a material increase in referrals from the southern border, th…"
ICE raids Los Angeles,1,16.361696,0,"Not about ICE raids in Los Angeles; focuses on EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Mi.","EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/subsequent-action__5968__nan__3e761a4aba.pdf,"at 7-8 (emphasis in original).) Prior to MPP 1.0, ImmDef rarely needed to travel to Mexico to meet with clients and did not represent clients in San Diego immigration court because its “motions to transfer venue to the immigration courts in Los Angeles, where [ImmDef] and most of [its] staff are based, were routinely granted.” (See Toczylowski Decl., Exhibit A ¶ 9.) “However, motions for change of venue in MPP cases were routinely denied by the San Diego immigration courts so [ImmDef] had to expand [its] operations” to provide legal representation to noncitizens it would have represented in Los Angeles prior to the implementation of MPP. (See id.) As such, MPP impaired ImmDef’s ability to conduct removal defense work in Los Angeles immigration courts. Put differently, because MPP affected ImmDef’s core business activities in Los Angeles, the expenditures ImmDef undertook were necessary and not voluntary. (See Reply at 1-3 (“If ImmDef failed to provide legal representation to individua…"
ICE raids Los Angeles,2,15.04182,0,Not about ICE raids in Los Angeles; focuses on DOJ files denaturalization complaints against 3 U.S. ci.,DOJ files denaturalization complaints against 3 U.S. citizens,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/611__doj-files-denaturalization-complaints-against-3-us-citizens/documents/prior-policy__1405__under-trump-the-rare-act-of-denaturalizing-us-citizens-on-the-rise__5dd7e4851c.pdf,"CALIFORNIA LOCAL By BRITTNY MEJIA AUG 12, 2018 | 7:30 AM y h S New citizens during a naturalization ceremony at the L.A. Convention Center. (Mel Melcon / Los Angeles Times) ADVERTISEMENT TRIAL OFFER SUPPORT QUALITY NEWS 4 weeks for 99¢ SAVE NOW TRIAL OFFER | 4 weeks for 99¢ ħ TOPICS SUBSCRIBE 4 weeks for only 99¢ s LOG IN Working a Saturday shift in the stuffy Immigration and Naturalization Service office in downtown Los Angeles in the 1970s, Carl Shusterman came across a rap sheet. A man recently sworn in as a United States citizen had failed to disclose on his naturalization application that he had been arrested, but not convicted, in California on rape and theft charges. Shusterman, then a naturalization attorney, embarked on a months-long effort to do something that rarely happened: strip someone of their American citizenship. “We had to look it up to find out how to do this,” he said. “We’d never even heard of it.” PAID CONTENT Can a big state university really aspire to 'make li…"
ICE raids Los Angeles,3,13.785951,0,"Not about ICE raids in Los Angeles; focuses on SSA announces return of ""no-match"" letters.","SSA announces return of ""no-match"" letters",,"[""Social Security Administration""]","[""Workplace Enforcement""]",data/sample_100/policies/518__ssa-announces-return-of-no-match-letters/documents/subsequent-action__1228__feds-id-verification-letters-frighten-eateries-hotels-that-hire-immigrants__8735e0c772.pdf,"The National Restaurant Association, among other groups, sued over the rule change, arguing that it was overly burdensome on employers and would result in discrimination against workers who are perceived to be immigrants. They won — and the letters stopped coming in 2012 under President Obama. Last summer, the Social Security Administration said it would restart the practice in the spring of 2019, but has not explained why it opted to do so, industry sources complained. “There is not a lot of information coming out from the government about this, and some employers are petrified that ICE audits and raids will increase,” hospitality attorney Carolyn Richmond of Fox Rothschild told The Post. “We find the timing now very interesting given all the talk about immigration and the history of what happened,” Angelo Amador, regulatory counsel of the restaurant trade group that sued the feds in 2007, told The Post. “The hospitality industry is on the front lines of this,” he said. FILED UNDER E…"
ICE raids Los Angeles,4,12.177217,0,"Not about ICE raids in Los Angeles; focuses on DOJ sues Orange County, CA registrar over refusal to pr.","DOJ sues Orange County, CA registrar over refusal to provide voting records",,"[""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1832__doj-sues-orange-county-registrar-over-voting-records/documents/new-policy__6525__nan__bebb328185.pdf,"1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 HARMEET K. DHILLON Assistant Attorney General Civil Rights Division MICHAEL E. GATES Deputy Assistant Attorney General Civil Rights Division MAUREEN RIORDAN Acting Chief, Voting Section Civil Rights Division KEVIN MUENCH Attorney, Voting Section Civil Rights Division U.S. Department of Justice 4 Constitution Square 150 M Street NE, Room 8.923 Washington, D.C. 20530 Telephone: (202) 808-4833 Email: kevin.muench@usdoj.gov BILAL A. ESSAYLI United States Attorney DAVID M. HARRIS Chief, Civil Division KATHERINE M. HIKIDA (CA State Bar No. 153268) Assistant United States Attorney Civil Rights Section, Civil Division Federal Building, Suite 7516 300 North Los Angeles Street Los Angeles, California 90012 Telephone: (213) 894-2285, Facsimile: (213) 894-7819 Email: katherine.hikida@usdoj.gov Attorneys for Plaintiff, UNITED STATES OF AMERICA Case 8:25-cv-01370 Document 1 Filed 06/25/25 Page 1 of 10 Page ID #:1 2 1 2 3 4…"
ICE raids Los Angeles,5,10.147085,0,Not about ICE raids in Los Angeles; focuses on DHS terminates Temporary Protected Status for Honduras.,DHS terminates Temporary Protected Status for Honduras,,"[""U.S. Citizenship and Immigration Services""]","[""TPS""]",data/sample_100/policies/1849__dhs-terminates-temporary-protected-status-for-honduras/documents/subsequent-action__6672__nan__ef1f842bf0.pdf,"Venue is proper in the Northern District of California under 28 U.S.C. 1391(e)(1) because at least one Plaintiff resides in this judicial district and each Defendant is an agency of the United States or an officer of the United States sued in his or her official capacity. INTRADISTRICT ASSIGNMENT 10. Assignment is proper in the San Francisco division because the claims of Plaintiffs that reside in this judicial district arise in Alameda and San Mateo Counties.5 THE PARTIES Plaintiffs 11. Plaintiff National TPS Alliance (NTPSA) is a member-led organization whose mission is to defend the TPS program and win a path to permanent residency for TPS holders. NTPSA is fiscally sponsored by the Central American Resource Center - CARECEN - of California, a non-profit organization headquartered in Los Angeles, California, which has worked for more than four decades to provide immigrant integration programs, deliver immigration legal services, and foster civic participation and community engageme…"
OMB pauses agency grant loan financial assistance programs,1,28.669899,3,Exact match to OMB pause,"OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",,data/sample_100/policies/1505__omb-temporarily-pauses-agency-grant-loan-and-financial-assistance-programs/documents/subsequent-action__5054__nan__408fb1c6ed.pdf,"18 Federal non-discrimination laws [including those related to pregnancy] by healthcare providers that receive Federal financial assistance.” ii. The OMB Directive 71. On the evening of January 27, State Plaintiffs were alerted through social media to a Directive sent by Matthew J. Vaeth, Acting Director of the Office of Management and Budget to heads of executive departments and agencies. The Directive, titled “Temporary Pause of Agency Grant, Loan, and Other Financial Assistance Programs,” references the seven executive orders described above. OMB Directive, at 1-2. It further states that all federal agencies “must complete a comprehensive analysis of all of their Federal financial assistance programs to identify programs, projects, and activities that may be implicated by any of the President’s executive orders.” Id. at 2. Moreover, while this analysis is ongoing, “[i]n the interim, to the extent permissible under applicable law, Federal agencies must temporarily pause all activiti…"
OMB pauses agency grant loan financial assistance programs,2,21.188381,0,Unrelated HHS policy,HHS issues notice excluding undocumented immigrants from additional federal benefits,,"[""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1845__department-of-health-and-human-services-announces-termination-of-migrant-eligibi/documents/subsequent-action__7142__nan__c0351a2e39.pdf,"The January 21 Anti-DEI Order again fails to define “DEI,” “DEIA,” “diversity,” “equity,” or “inclusion.” It only purports that ““diversity, equity, and inclusion,” “DEI,” “diversity, equity, inclusion, and accessibility,” or “DEIA” policies are “illegal,” “dangerous,” and “immoral” and can violate federal civil rights laws.” Id. 244. On January 20, 2025, President Trump also issued an Executive Order titled “Defending Women from Gender Ideology Extremism and Restoring Biological Truth to the Federal Government” (“Gender Ideology EO”), directing that “federal funds shall not be used to promote gender ideology.” Exec. Order No. 14,168., 90 Fed. Reg. 8615 (Jan. 30, 2025), §2(f). The Order defines “gender ideology” as a “false claim” that “replaces the biological category of sex with an ever-shifting concept of self-assessed gender identity,” and that “includes the idea that there is a vast spectrum of genders that are disconnected from one’s sex.” Id. at §2(g). 245. On January 27, 2025,…"
OMB pauses agency grant loan financial assistance programs,3,12.174385,0,"Refugee resettlement, not OMB pause",State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]",data/sample_100/policies/1450__report-tump-memo-bars-resettlement-agencies-from-providing-services-to-refugees-/documents/subsequent-action__5340__nan__47540f811e.pdf,"16 relevant Executive Branch officials to institute a “90-day pause in United States foreign development assistance” pending review for programmatic efficiency and policy alignment, subject to waivers authorized by the Secretary of State for specific programs. Id. § 3(a). On the same day, President Trump signed an executive order titled “Realigning the United States Refugee Admissions Program.” Exec. Order No. 14,163, 90 Fed. Reg. 8459 (Jan. 20, 2025) (“Refugee Executive Order”). The Refugee Executive Order suspends the entry of new refugees into the United States with narrow exceptions. 44. On January 24, Secretary of State Rubio issued an order to all State Department diplomatic and consular posts stating that “[c]onsistent with” the Foreign Aid Executive Order, “all new obligations of funding . . . for foreign assistance programs funded by or through the Department and USAID” would be paused “pending a review.” Memorandum from Secretary of State to All Diplomatic and Consular Posts…"
OMB pauses agency grant loan financial assistance programs,4,10.040161,1,"Budget context, not pause action",White House FY2020 Budget Proposal includes $8.6 billion in border wall funding,,"[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Border"", ""Interior""]",data/sample_100/policies/379__white-house-releases-fy2020-budget-proposal/documents/biden-administration-policy__3466__nan__4efa2586db.pdf,"9 The Balanced Budget and Emergency Deficit Control Act of 1985 had authorized an adjustment to the discretionary spending caps for appropriations designated by the Congress as being for ""disaster relief"" provided those appropriations are for activities carried out pursuant to a determination under the Robert T. Stafford Disaster Relief and Emergency Assistance Act. The 2022 Budget maintains the same methodology for determining the funding ceiling for disaster funding for 2022 and OMB currently sets its request at the estimated ceiling of $18.9 billion. Further details, including any revisions necessary to account for changes to the ceiling estimate and the specific allocations of disaster relief funding requested for 2022, will be provided in the Budget. 7 The 2022 request shifts the Formerly Utilized Sites Remedial Action Program (FUSRAP) from the Corps to DOE; setting aside the FUSRAP shift, the change from 2021 is a 10‐percent decrease to the Corps non‐defense budget. 5 The State …"
OMB pauses agency grant loan financial assistance programs,5,9.753174,0,"DOJ grant reporting, different issue","DOJ seeks comment on proposal that OVC grantees must use TIMS, an electronic database",,"[""Unspecified/Other""]","[""Unspecified/Other"", ""Unspecified/Other""]",data/sample_100/policies/886__doj-seeks-comment-on-proposed-requirement-that-ovc-grantees-use-electronic-data-/documents/new-policy__2003__supporting-statement__8a05075a20.pdf,Required fields of information are kept to a minimum and used only when necessary to obtain performance measurement data. Grantees enter basic demographic information on the clients they have served. TIMS does not contain personal identifier information (PII).Grantees will utilize and access TIMS via a regular Web browser through a secured username and password. 3. Efforts to Minimize Burden TIMS reduces the burden for OVC Anti-Human Trafficking Grantees by providing them with a free Web-based tool with which to enter data and provide reports on required grant information so that they do not need to develop or purchase individual tracking systems. Office OMB Submission –OVC TTAC Trafficking Information Management System (TIMS) Page 4 of Justice Program (OJP) Grantees must already report financial and programmatic information online via OJP’s Grants Management System. The TIMS online version is more user-friendly and simplifies the steps needed for OVC to access the data entered. The g…
categorical parole programs CHNV,1,16.520091,3,Directly addresses categorical parole termination,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1455__eo-securing-our-borders-7b-directs-termination-of-categorical-parole-programs-in/documents/subsequent-action__7289__nan__53ea5dd17f.pdf,"206, 215 (1953))). The INA empowers the Secretary of the Department of Homeland Security (""DHS"") to grant parole of non-citizens into the United States ""only on a case-by-case basis for urgent humanitarian reasons or significant public benefit.""1 8 U.S.C. § 1182(d)(5)(A). And many presidential administrations have invoked this authority 1 See Thuraissigiam, 591 U.S. at 139 (""The power to admit or exclude aliens is a sovereign prerogative, the Constitution gives the political department of the government plenary authority to decide which aliens to admit, and a concomitant of that power is the power to set the procedures"" to determine ""whether an alien should be admitted."" (citation modified)). Case: 25-1384 Document: 00118339877 Page: 4 Date Filed: 09/12/2025 Entry ID: 6750605 - 5 - to grant parole to non-citizens.2 Most relevant to the instant appeal, DHS, under the Administration of President Joseph R. Biden, launched parole programs under which nationals of Cuba, Haiti, Nicaragua, a…"
categorical parole programs CHNV,2,6.73272,0,"OMB grants pause, wrong topic","OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",,data/sample_100/policies/1505__omb-temporarily-pauses-agency-grant-loan-and-financial-assistance-programs/documents/subsequent-action__5629__nan__f4b58d1e68.pdf,"Reviews of applicable programs and payments will result in delays and/or rejections of payments.”). 11 While the Defendants claim that the Directive and the EOs required the agencies to pause funding and impose restriction on obligated funds consistent with the law, the undisputed evidence before the Court is that adding the “consistent with the law” caveat was nothing more than window dressing on an unconstitutional directive by the Executive. This is clear because when the Court clarified its TRO, when faced with evidence that the Defendants continued to freeze obligated funding, the money flowed once again. Case 1:25-cv-00039-JJM-PAS Document 161 Filed 03/06/25 Page 22 of 45 PageID #: 8026 23 issued. Id. As another court faced with a similar challenge to the OMB Directive underscored “it is unclear whether twenty-four hours is sufficient time for an agency to independently review a single grant, let alone hundreds of thousands of them.” Nat’l Council of Nonprofits v. Off. of Mgmt. …"
categorical parole programs CHNV,3,6.350287,0,"AG precedent case, unrelated","AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions",,"[""Attorney General"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]",data/sample_100/policies/222__attorney-general-decides-matter-of-thomas-thompson/documents/prior-policy__570__matter-of-h-estrada-26-in-dec-749-bia-2016__48baf6a8d1.pdf,"U.S. Att’y Gen., 513 F.3d 1336, 1339−42 (11th Cir. 2008); see also United States v. Yanes-Cruz, 634 F. App’x 247 (11th Cir. 2015) (finding that battery under section 16-5-23.1(a) of the Georgia Code Annotated is a 1 The respondent was also convicted of sexual battery in violation of section 16-6-22.1 of the Georgia Code Annotated on May 7, 1999. The DHS did not rely on that conviction as a basis for removability and does not argue that it is pertinent on appeal. Cite as 26 I&N Dec. 749 (BIA 2016) Interim Decision #3863 751 categorical crime of violence). The respondent does not challenge the Immigration Judge’s determination that he was convicted of a categorical crime of violence based on the elements necessary for such a conviction. Although the respondent does argue that the domestic nature of his offense was not categorically established, the categorical approach does not necessarily apply to all aspects of the determination whether a conviction is for a crime of domestic violence…"
categorical parole programs CHNV,4,5.299438,1,Immigration relief but not CHNV parole,DHS terminates Temporary Protected Status for Honduras,,"[""U.S. Citizenship and Immigration Services""]","[""TPS""]",data/sample_100/policies/1849__dhs-terminates-temporary-protected-status-for-honduras/documents/subsequent-action__6845__nan__8c39d66c05.pdf,"1254a), and that such designations are appropriately limited in scope and made for only so long as may be necessary to fulfill the textual requirements of that statute.” Id. § 16(b). The Invasion EO would be cited in later decisions vacating or terminating TPS designations. See 90 Fed. Reg. 30086 (July 8, 2025); 90 Fed. Reg. 30089 (July 8, 2025); 90 Fed. Reg. 24151 (Jun. 6, 2025). See also ECF 18-11 at 2 (citing “President Trump’s promise to rescind policies that were magnets for illegal immigration and inconsistent with the law” when vacating Haiti’s TPS extension). On January 27, 2025, in an email exchange between DHS officials, Tony Pham wrote to Marc Rosenblum that “This is a project involving termination of TPS status and we need to tell the data story if can be.” ECF 18-5 at 2. See also ECF 18-6 at 4 (privilege log showing a document labeled for Venezuela TPS “termination” on January 26, 2025). Tony Pham also requested information on “the inter-relationship between the Columbia …"
categorical parole programs CHNV,5,5.272636,0,"HHS notice, unrelated policy",HHS issues notice excluding undocumented immigrants from additional federal benefits,,"[""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1845__department-of-health-and-human-services-announces-termination-of-migrant-eligibi/documents/subsequent-action__7178__nan__82fcf5d46b.pdf,"e. Practical Considerations Finally, this factor favors finding that the Notices are legislative. Here is where the FAQ Document from Azar is on all-fours with the Notices. Like in Azar, the Notices call “for a categorical resolution that affects a broad range of payments and scenarios and likely involves large sums of money.” 887 F.3d at 73. HHS, for instance, estimates that its Notice could “result in an annual effect on the economy of $100 million or more.” (ECF No. 4-5 at 4.) Like in Azar, the Government cannot point to “evidence that the [agencies] consistently implemented the statute” between the 1990s and 2025 “in accord with the Secretary’s present policy.” 887 F.3d at 73. Quite the opposite: as discussed, all three Notices recognize that the Notices depart from past practices. Like in Azar, the Notices “announced a new policy on a matter of some Case 1:25-cv-00345-MSM-PAS Document 64 Filed 09/10/25 Page 24 of 60 PageID #: 1747 25 considerable import.” 887 F.3d at 74. That is …"
EOIR classified information guidance,1,18.415981,3,Directly EOIR guidance on handling classified information.,EOIR Acting Deputy Director issues guidance on the handling of classified information in EOIR proceedings,,"[""Executive Office for Immigration Review""]","[""Unspecified/Other""]",data/sample_100/policies/2084__acting-eoir-deputy-director-issues-pm-25-37-consolidating-and-updating-eoir-poli/documents/prior-policy__7844__nan__3cd0c0f3dc.pdf,"Central Security Coordinator 1. To ensure consistency in the implementation of these procedures and the proper handling and protection of classified information across the immigration courts and the BIA, EOIR has established the role of Central Security Coordinator within its Office of Security. The Central Security Coordinator is responsible for overseeing the national implementation of these procedures and will serve as the point of contact for all EOIR personnel when any questions or issues arise relating to these procedures and/or the handling of classified information in a particular proceeding. 2. The BIA Security Coordinator (see infra Section III.B) will report to and receive guidance from the Central Security Coordinator related to these procedures and handling of classified information. 3. The Central Security Coordinator must maintain Top Secret (TS)//SCI clearance. 4. As part of overseeing the implementation of these procedures, the Central Security Coordinator is responsi…"
EOIR classified information guidance,2,11.3816,0,"USCIS derogatory information guidance, not EOIR classified-info handling.",USCIS issues guidance on derogatory information unknown to the benefit requestor,,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]",data/sample_100/policies/1812__uscis-issues-guidance-on-derogatory-information-unknown-to-the-benefit-requestor/documents/new-policy__6478__nan__b7e5c89497.pdf,"USCIS, which caused USCIS to review its method of disclosure and consider situations where USCIS may release copies of source documents containing derogatory information.2 However, USCIS may not be able to release source documents or disclose detailed descriptions of all information due to informationsharing limitations, such as classified information, information subject to agreements with agencies that own the information, and information protected by confidentiality and privacy laws. Therefore, USCIS is now updating policy guidance to explain its approach to disclosing derogatory information and promote consistency across operations. This guidance, contained in Volume 1 of the Policy Manual, is effective immediately and applies to benefit requests pending or filed on or after the publication date. The guidance contained in the Policy Manual is controlling and supersedes any related prior guidance. 1 See 8 CFR 103.2(b)(16)(i). 2 See Zerezghi v. USCIS, 955 F.3d 802, 810 (9th Cir. 202…"
EOIR classified information guidance,3,8.805718,1,EOIR/BIA form changes; EOIR-related but not classified-information handling.,"DOJ requests comments on Form EOIR-27, Notice of Entry of Appearance before BIA",,"[""Executive Office for Immigration Review""]","[""Unspecified/Other"", ""Unspecified/Other""]",data/sample_100/policies/855__doj-requests-comment-on-a-proposed-revision-and-extension-of-data-collection-fro/documents/new-policy__1917__proposed-changes-to-eoir-27__0822e91976.pdf,"Attorneys and Accredited Representatives (with full accreditation) must first update their address in eRegistry before filing a Form EOIR-27 that reflects a new address. FREEDOM OF INFORMATION ACT - This form may not be used to request records under the Freedom of Information Act or the Privacy Act. The manner of requesting such records is in 28 C.F.R. §§ 16.1-16.11 and appendices. For further information about requesting records from EOIR under the Freedom of Information Act, see How to File a Freedom of Information Act (FOIA) Request With the Executive Office for Immigration Review, available on EOIRs website at http://www.justice.gov/eoir. PRIVACY ACT NOTICE - The information requested on this form is authorized by 8 U.S.C. § 1362 and 8 C.F.R. § 1003.3 in order to enter an appearance to represent a party before the Board of Immigration Appeals. The information you provide is mandatory and required to enter an appearance. Failure to provide the requested information will result in a…"
EOIR classified information guidance,4,8.320489,0,"Asylum cooperative agreements rule, not EOIR classified-info handling.",DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements,,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1985__homeland-security-secretary-noem-ratifies-interim-final-rule-pertaining-to-asylu/documents/subsequent-action__7288__nan__22cb73eb35.pdf,"Instead, such a showing would just count as “strong evidence” of the likelihood of future persecution. Under the 2019 USCIS guidance, the asylum officer was not permitted to determine that a noncitizen is more likely than not to face persecution based solely on past persecution. 79. Also on November 19, 2019, Defendant EOIR distributed guidance to immigration judges titled “Guidelines Regarding New Regulations Providing For Case 1:20-cv-00116-EGS Document 157-1 Filed 09/08/25 Page 26 of 52 24 Implementation Of Asylum Cooperative Agreements.” That guidance stated in part that a noncitizen subject to an ACA is not eligible for asylum, withholding of removal, or CAT protection “unless the immigration judge determines” that the ACA “does not preclude the [noncitizen] from applying for asylum in the United States,” that the noncitizen “qualifies for an exception to the relevant” ACA; or that the noncitizen “has demonstrated that it is more likely than not that he or she would be persecuted…"
EOIR classified information guidance,5,8.316251,1,EOIR NTA filing guidance; EOIR-related but not classified-information handling.,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling",,"[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]",data/sample_100/policies/198__eoir-releases-memo-on-acceptance-of-ntas-use-of-interactive-scheduling-system/documents/biden-administration-policy__4643__nan__cf28508307.pdf,"OOD PM 24-01 To: All of EOIR From: Mary Cheng, Acting Director Date: August 22, 2024 Digitally signed by MARY MARY CHENG Date: 2024.08.22 CHENG 08:33:32 -04'00' UPDATED GUIDANCE FOR RECEIPT OF NOTICES TO APPEAR FILED BY THE DEPARTMENT OF HOMELAND SECURITY PURPOSE: Provide updated standards regarding receipt of Notices to Appear filed by the Department of Homeland Security. OWNER: Office of the Director. AUTHORITY: 8 C.F.R. § 1003.0(b)(1); 8 C.F.R. § 1003.14(a). CANCELLATION: Policy Memorandum 19-08, Acceptance of Notices to Appear and Use of the Interactive Scheduling System. This Policy Memorandum provides updated standards to Executive Office for Immigration Review (EOIR) adjudicators and personnel regarding the receipt of Notices to Appear (NTAs) filed by the Department of Homeland Security (DHS). This Policy Memorandum supersedes and rescinds Policy Memorandum 19-08, Acceptance of Notices to Appear and Use of the Interactive Scheduling System. I. Failure to Prosecute and Filing of…"
director-level authorization custodial releases unaccompanied minors,1,12.208876,3,Directly about ORR Director-level authorization for custodial releases of unaccompanied minors.,ORR requires Director-level authorization of custodial releases of certain unaccompanied children,,"[""Office of Refugee Resettlement""]","[""Detention"", ""Interior"", ""Minors""]",data/sample_100/policies/1342__orr-implements-policy-requiring-director-review-of-releases-of-unaccompanied-chi/documents/subsequent-action__4463__nan__f6c2ae6ffc.pdf,"All homes and facilities operated by licensed programs, including facilities for special needs minors, shall be non-secure as required by state law; provided, however, that a facility for special needs minors may maintain that level of security permitted under state law which is necessary for the protection of a minor or others in appropriate circumstances, e.g., cases in which a minor has drug or alcohol problems or is mentally ill. Id. at ¶ 6. A “special needs minor” is in turn defined as: [A] minor whose mental and/or physical condition requires special services and treatment by staff. A minor may have special needs due to drug or alcohol abuse, serious emotional disturbance, mental illness or retardation, or a physical condition or chronic illness that requires special services or treatment as a result of neglect or abuse. [Defendants] shall assess minors to determine if they have special needs and, if so, shall place such minors, whenever possible, in licensed programs in which […"
director-level authorization custodial releases unaccompanied minors,2,11.974127,0,"MPP policy, not ORR custodial release authorization.","EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/subsequent-action__7315__nan__4d3ed281b4.pdf,"TVPRA was quite clearly to give unaccompanied 4 Case 2:21-cv-00395-FMO-RAO Document 319 Filed 09/29/25 Page 4 of 6 Page ID #:12749 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 minors more protection, not less.”). At a minimum, the government shall adopt safeguards to ensure that MPP-unaccompanied children: (1) have access to counsel to the greatest extent practicable; (2) have a meaningful opportunity to apply for affirmative asylum with USCIS on an extended timeline, given their exemption from the one-year deadline; (3) have their asylum claims processed in the first instance by USCIS; and (4) can seek voluntary departure. See 8 U.S.C. § 1158(a)(2)(E), (b)(3)(C); 8 U.S.C. § 1232(a)(5)(D)(i)-(iii). The government shall take concrete measures and actions to ensure that MPP-unaccompanied children have a meaningful opportunity to access TVPRA protections before the government seeks to remove them. This could include, for example, not rushing to remove MPP-un…"
